Month,Sales of shampoo over a three year period
19-01-01,266
19-02-01,145.9
19-03-01,183.1
19-04-01,119.3
19-05-01,180.3
19-06-01,168.5
19-07-01,231.8
19-08-01,224.5
19-09-01,192.8
19-10-01,122.9
19-11-01,336.5
19-12-01,185.9
19-01-02,194.3
19-02-02,149.5
19-03-02,210.1
19-04-02,273.3
19-05-02,191.4
19-06-02,287
19-07-02,226
19-08-02,303.6
19-09-02,289.9
19-10-02,421.6
19-11-02,264.5
19-12-02,342.3
19-01-03,339.7
19-02-03,440.4
19-03-03,315.9
19-04-03,439.3
19-05-03,401.3
19-06-03,437.4
19-07-03,575.5
19-08-03,407.6
19-09-03,682
19-10-03,475.3
19-11-03,581.3
19-12-03,646.9
